Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/45821/;Война под крышами;no eng title;1967;100;СССР;драма;Виктор Туров;Нина Ургант, Елизавета Уварова;6,2;979
https://www.kinopoisk.ru//film/7765/;Восхождение;no eng title;1976;106;СССР;драма;Лариса Шепитько;Борис Плотников, Владимир Гостюхин;8,1;19219
https://www.kinopoisk.ru//series/466573/;Время выбрало нас;no eng title;1979;67;СССР;военный;Михаил Пташук;Евгений Герасимов, Пётр Вельяминов;6,1;886
https://www.kinopoisk.ru//film/175593/;Время собирать камни;no eng title;2005;95;Россия;военный;Алексей Карелин;Владимир Вдовиченков, Давид К. Буннерс;7,4;3692
https://www.kinopoisk.ru//film/421419/;Всадники;no eng title;1972;120;СССР;приключения;Вадим Костроменко;Петр Ластивка, Володя Краснов;6,9;1040
https://www.kinopoisk.ru//film/45942/;Вступление;no eng title;1963;101;СССР;драма;Игорь Таланкин;Борис Токарев, Нина Ургант;6,9;726
https://www.kinopoisk.ru//series/494048/;Вторые;no eng title;2009;46;Россия;драма;Александр Даруга;Алексей Воробьёв, Анатолий Пашинин;7,6;3493
https://www.kinopoisk.ru//series/85184/;Вызываем огонь на себя;no eng title;1964;317;СССР;драма;Сергей Колосов;Людмила Касаткина, Елена Королёва;7,7;2576
https://www.kinopoisk.ru//film/41181/;Генерал;no eng title;1992;104;Россия;драма;Игорь Николаев;Владимир Гостюхин, Алексей Жарков;6,7;1575
https://www.kinopoisk.ru//film/44582/;Горячий снег;no eng title;1972;99;СССР;драма;Гавриил Егиазаров;Георгий Жжёнов, Анатолий Кузнецов;8,1;17710
https://www.kinopoisk.ru//film/255219/;Государственная граница. Фильм 5. Год сорок первый;no eng title;1986;134;СССР;драма;Вячеслав Никифоров;Арчил Гомиашвили, Марина Левтова;8,0;4357
https://www.kinopoisk.ru//film/44080/;Дачная поездка сержанта Цыбули;no eng title;1979;77;СССР;комедия;Николай Литус;Сергей Иванов, Владимир Алексеенко;7,3;5756
https://www.kinopoisk.ru//film/44327/;Два бойца;no eng title;1943;80;СССР;военный;Леонид Луков;Марк Бернес, Борис Андреев;7,9;5666
https://www.kinopoisk.ru//film/44334/;Два Федора;no eng title;1958;89;СССР;драма;Марлен Хуциев;Василий Шукшин, Николай Чурсин;7,5;5289
https://www.kinopoisk.ru//film/44339/;Двадцать дней без войны;no eng title;1976;101;СССР;драма;Алексей Герман;Юрий Никулин, Людмила Гурченко;8,0;16432
https://www.kinopoisk.ru//film/44344/;Дважды рожденный;no eng title;1983;80;СССР;драма;Аркадий Сиренко;Вячеслав Баранов, Георгий Дрозд;7,8;3956
https://www.kinopoisk.ru//film/44366/;Двое в степи;no eng title;1962;82;СССР;военный;Анатолий Эфрос;Валерий Бабятинский, Асу Нурекенов;6,6;550
https://www.kinopoisk.ru//film/44174/;Девочка ищет отца;no eng title;1959;92;СССР;драма;Лев Голуб;Анна Каменкова, Владимир Гуськов;7,2;2520
https://www.kinopoisk.ru//film/44134/;День командира дивизии;no eng title;1983;91;СССР;военный;Игорь Николаев;Михаил Ульянов, Валерий Цветков;6,8;3349
https://www.kinopoisk.ru//series/89607/;Диверсант;no eng title;2004;208;Россия;боевик;Андрей Малюков;Алексей Бардуков, Владислав Галкин;8,1;60284
https://www.kinopoisk.ru//series/260901/;Диверсант 2: Конец войны;no eng title;2007;500;Россия;драма;Игорь Зайцев;Владислав Галкин, Кирилл Плетнёв;8,1;32281
https://www.kinopoisk.ru//film/44234/;До свидания, мальчики;no eng title;1964;82;СССР;драма;Михаил Калик;Евгений Стеблов, Николай Досталь;7,8;4550
