Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/435/;Зеленая миля;The Green Mile;1999;189;США;драма;Фрэнк Дарабонт;Том Хэнкс, Дэвид Морс;9,2;124335
https://www.kinopoisk.ru//film/326/;Побег из Шоушенка;The Shawshank Redemption;1994;142;США;драма;Фрэнк Дарабонт;Тим Роббинс, Морган Фриман;9,0;104837
https://www.kinopoisk.ru//film/448/;Форрест Гамп;Forrest Gump;1994;142;США;драма;Роберт Земекис;Том Хэнкс, Робин Райт;9,0;122279
https://www.kinopoisk.ru//film/329/;Список Шиндлера;Schindler's List;1993;195;США;драма;Стивен Спилберг;Лиам Нисон, Бен Кингсли;9,0;56313
https://www.kinopoisk.ru//film/679486/;Тайна Коко;Coco;2017;105;США;мультфильм;Ли Анкрич;Энтони Гонсалес, Гаэль Гарсиа Берналь;8,9;123251
https://www.kinopoisk.ru//film/3498/;Властелин колец: Возвращение короля;The Lord of the Rings: The Return of the King;2003;201;Новая;фэнтези;Питер Джексон;Элайджа Вуд, Вигго Мортенсен;8,9;39865
https://www.kinopoisk.ru//film/535341/;1+1;Intouchables;2011;112;Франция;драма;Оливье Накаш;Франсуа Клюзе, Омар Си;8,9;185364
https://www.kinopoisk.ru//film/258687/;Интерстеллар;Interstellar;2014;169;США;фантастика;Кристофер Нолан;Мэттью МакКонахи, Энн Хэтэуэй;8,8;95467
https://www.kinopoisk.ru//film/361/;Бойцовский клуб;Fight Club;1999;139;США;триллер;Дэвид Финчер;Эдвард Нортон, Брэд Питт;8,8;197210
https://www.kinopoisk.ru//film/370/;Унесённые призраками;Sen to Chihiro no kamikakushi;2001;125;Япония;аниме;Хаяо Миядзаки;Руми Хиираги, Мию Ирино;8,8;81836
https://www.kinopoisk.ru//film/342/;Криминальное чтиво;Pulp Fiction;1994;154;США;криминал;Квентин Тарантино;Джон Траволта, Сэмюэл Л. Джексон;8,8;118782
https://www.kinopoisk.ru//film/328/;Властелин колец: Братство Кольца;The Lord of the Rings: The Fellowship of the Ring;2001;178;Новая;фэнтези;Питер Джексон;Элайджа Вуд, Иэн Маккеллен;8,8;52902
https://www.kinopoisk.ru//film/42664/;Иван Васильевич меняет профессию;no eng title;1973;88;СССР;комедия;Леонид Гайдай;Александр Демьяненко, Юрий Яковлев;8,8;133125
https://www.kinopoisk.ru//film/312/;Властелин колец: Две крепости;The Lord of the Rings: The Two Towers;2002;179;Новая;фэнтези;Питер Джексон;Элайджа Вуд, Иэн Маккеллен;8,8;37187
https://www.kinopoisk.ru//film/77263/;Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей;no eng title;1981;154;СССР;детектив;Игорь Масленников;Василий Ливанов, Виталий Соломин;8,8;48271
https://www.kinopoisk.ru//film/2360/;Король Лев;The Lion King;1994;88;США;мультфильм;Роджер Аллерс;Мэттью Бродерик, Джереми Айронс;8,8;67607
https://www.kinopoisk.ru//film/476/;Назад в будущее;Back to the Future;1985;116;США;фантастика;Роберт Земекис;Майкл Дж. Фокс, Кристофер Ллойд;8,8;79764
https://www.kinopoisk.ru//film/430/;Шрэк;Shrek;2001;90;США;мультфильм;Эндрю Адамсон;Майк Майерс, Эдди Мерфи;8,7;146344
https://www.kinopoisk.ru//film/77269/;Шерлок Холмс и доктор Ватсон: Знакомство;no eng title;1979;68;СССР;криминал;Игорь Масленников;Василий Ливанов, Виталий Соломин;8,7;57098
https://www.kinopoisk.ru//film/32898/;Достучаться до небес;Knockin' on Heaven's Door;1997;87;Германия;драма;Томас Ян;Тиль Швайгер, Ян Йозеф Лиферс;8,7;104653
https://www.kinopoisk.ru//film/46708/;Москва слезам не верит;no eng title;1979;150;СССР;мелодрама;Владимир Меньшов;Вера Алентова, Ирина Муравьёва;8,7;130832
https://www.kinopoisk.ru//film/397667/;Остров проклятых;Shutter Island;2009;138;США;триллер;Мартин Скорсезе;Леонардо ДиКаприо, Марк Руффало;8,7;152912
https://www.kinopoisk.ru//film/44386/;Джентльмены удачи;no eng title;1971;84;СССР;комедия;Александр Серый;Евгений Леонов, Георгий Вицин;8,7;124434
https://www.kinopoisk.ru//film/279102/;ВАЛЛ·И;WALLE;2008;98;США;мультфильм;Эндрю Стэнтон;Бен Бертт, Элисса Найт;8,7;82342
https://www.kinopoisk.ru//film/49684/;Ходячий замок;Howl no Ugoku Shiro;2004;119;Япония;аниме;Хаяо Миядзаки;Тиэко Байсё, Такуя Кимура;8,7;69035
https://www.kinopoisk.ru//film/444/;Терминатор 2: Судный день;Terminator 2: Judgment Day;1991;137;США;фантастика;Джеймс Кэмерон;Арнольд Шварценеггер, Линда Хэмилтон;8,7;78160
https://www.kinopoisk.ru//film/322/;Гарри Поттер и узник Азкабана;Harry Potter and the Prisoner of Azkaban;2004;142;Великобритания;фэнтези;Альфонсо Куарон;Дэниэл Рэдклифф, Руперт Гринт;8,7;108562
https://www.kinopoisk.ru//film/44168/;Девчата;no eng title;1962;92;СССР;мелодрама;Юрий Чулюкин;Надежда Румянцева, Николай Рыбников;8,7;120321
